external_id	display_name	role	c1_colocacion_credito_ejecutivo	c1_colocacion_credito_senior	c2_captacion_depositos_ejecutivo	c2_captacion_depositos_senior	c3_productos_cruzados_ejecutivo	c3_productos_cruzados_senior	c4_cumplimiento_regulatorio_ejecutivo	c4_cumplimiento_regulatorio_senior	Total_calc
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	350.00		180.00		72.00		100.00		702.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	350.00		180.00		36.00		100.00		666.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		260.00		400.00		300.00		150.00	1110.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	180.00		180.00		90.00		100.00		550.00
BCL-5026	Mauricio Miguel Salazar Domínguez	Ejecutivo	330.00		300.00		144.00		0.00		774.00
BCL-5027	Roberto Andrade Villavicencio	Ejecutivo	260.00		300.00		180.00		100.00		840.00
BCL-5028	Fernando Antonio Paredes Suárez	Ejecutivo	260.00		80.00		18.00		100.00		458.00
BCL-5029	Paola Fernanda Molina Trujillo	Ejecutivo	430.00		180.00		90.00		0.00		700.00
BCL-5030	Fabián Mauricio Montero Loor	Ejecutivo	430.00		180.00		72.00		100.00		782.00
BCL-5031	Gabriela Sofía Vega Paredes	Ejecutivo	430.00		80.00		162.00		100.00		772.00
BCL-5032	Ricardo Sebastián Salazar Paredes	Ejecutivo	80.00		180.00		72.00		100.00		432.00
BCL-5033	Kevin Fernando Paredes Cárdenas	Ejecutivo Senior		180.00		120.00		350.00		150.00	800.00
BCL-5034	Isabella Valentina Vascones Quinde	Ejecutivo	120.00		300.00		108.00		100.00		628.00
BCL-5035	Laura Carolina Guerrero Mora	Ejecutivo	180.00		300.00		108.00		100.00		688.00
BCL-5036	Fernanda Carolina Herrera Quinde	Ejecutivo	400.00		80.00		162.00		0.00		642.00
BCL-5037	Diego José Quinde Benítez	Ejecutivo	80.00		300.00		36.00		100.00		516.00
BCL-5038	Mauricio Antonio Vascones Solís	Ejecutivo	180.00		180.00		108.00		100.00		568.00
BCL-5039	Kevin Alejandro Rojas Álvarez	Ejecutivo	260.00		80.00		72.00		100.00		512.00
BCL-5040	Fernando Sebastián Hidalgo Palacios	Ejecutivo	180.00		180.00		126.00		100.00		586.00
BCL-5041	Ana Lucía Paredes Cortés	Ejecutivo	170.00		80.00		198.00		100.00		548.00
BCL-5042	Andrea Carolina Naranjo Quinde	Ejecutivo	350.00		80.00		90.00		100.00		620.00
BCL-5043	Isabella Elena Castillo Rivera	Ejecutivo Senior		180.00		400.00		150.00		150.00	880.00
BCL-5044	Ana Elena Castillo Chávez	Ejecutivo	330.00		180.00		90.00		100.00		700.00
BCL-5045	Kevin Andrés Paredes Domínguez	Ejecutivo	330.00		420.00		72.00		100.00		922.00
BCL-5046	Pablo Alejandro Barrera Reyes	Ejecutivo	260.00		180.00		90.00		0.00		530.00
BCL-5047	Silvia Andrea Barrera Trujillo	Ejecutivo	350.00		300.00		36.00		0.00		686.00
BCL-5048	Daniela Alejandra Montero Vascones	Ejecutivo	330.00		300.00		144.00		100.00		874.00
BCL-5049	Carlos Antonio Escobar Barrera	Ejecutivo	120.00		300.00		90.00		100.00		610.00
BCL-5050	Esteban Mauricio Vascones Aguirre	Ejecutivo	120.00		180.00		72.00		100.00		472.00
BCL-5051	Sofía Patricia Peñaherrera Ochoa	Ejecutivo	350.00		300.00		90.00		100.00		840.00
BCL-5052	Emilio Miguel Córdova Loor	Ejecutivo Senior		180.00		400.00		175.00		150.00	905.00
BCL-5053	Leonardo Alejandro Rivera Álvarez	Ejecutivo	120.00		180.00		90.00		100.00		490.00
BCL-5054	Fabián Fernando Alarcón Macías	Ejecutivo	240.00		180.00		90.00		100.00		610.00
BCL-5055	Cristina Elena Cortés García	Ejecutivo	330.00		300.00		90.00		100.00		820.00
BCL-5056	Sebastián Andrés García Molina	Ejecutivo	260.00		300.00		144.00		100.00		804.00
BCL-5057	Paola Elena Jaramillo Paredes	Ejecutivo	180.00		80.00		108.00		100.00		468.00
BCL-5058	Diana Valentina Delgado Solís	Ejecutivo	500.00		180.00		90.00		100.00		870.00
BCL-5059	Cristina Elena Aguirre Alarcón	Ejecutivo	120.00		80.00		144.00		100.00		444.00
BCL-5060	Mónica Valentina Palacios Escobar	Ejecutivo	330.00		180.00		90.00		100.00		700.00
BCL-5061	Iván Andrés Palacios Mendieta	Ejecutivo Senior		600.00		250.00		275.00		150.00	1275.00
BCL-5062	Laura Sofía Zambrano Hidalgo	Ejecutivo	180.00		180.00		54.00		100.00		514.00
BCL-5063	Diego Mora Jaramillo	Ejecutivo	350.00		80.00		216.00		0.00		646.00
BCL-5064	Miguel Eduardo Loor Guerrero	Ejecutivo	500.00		80.00		90.00		100.00		770.00
BCL-5065	Héctor Mauricio Aguirre Ibarra	Ejecutivo	500.00		300.00		90.00		100.00		990.00
BCL-5066	María Lucía Molina Espinoza	Ejecutivo	80.00		180.00		144.00		100.00		504.00
BCL-5067	Patricia Isabel Solís Domínguez	Ejecutivo	500.00		80.00		72.00		100.00		752.00
BCL-5068	Jorge Eduardo Ochoa Solís	Ejecutivo	120.00		180.00		72.00		100.00		472.00
BCL-5069	Martín José Paredes Loor	Ejecutivo Senior		700.00		250.00		325.00		150.00	1425.00
BCL-5070	Gonzalo Mauricio Cárdenas Córdova	Ejecutivo	120.00		80.00		126.00		100.00		426.00
BCL-5071	Paola Fernanda Guerrero Palacios	Ejecutivo	430.00		300.00		108.00		100.00		938.00
BCL-5072	Tomás Luis Córdova Montero	Ejecutivo	350.00		80.00		108.00		0.00		538.00
BCL-5073	David Luis Domínguez Ibarra	Ejecutivo	120.00		180.00		162.00		100.00		562.00
BCL-5074	Silvia Sofía Cárdenas Chávez	Ejecutivo	120.00		300.00		144.00		100.00		664.00
BCL-5075	Elena Andrea Benítez Cortés	Ejecutivo	330.00		300.00		108.00		100.00		838.00
BCL-5076	Iván Sebastián Delgado Mendieta	Ejecutivo	350.00		80.00		108.00		0.00		538.00
BCL-5077	Alejandro José García Barrera	Ejecutivo Senior		260.00		250.00		200.00		150.00	860.00
BCL-5078	Rosa Carolina Reyes Delgado	Ejecutivo	120.00		300.00		108.00		100.00		628.00
BCL-5079	Daniela Fernanda Naranjo Trujillo	Ejecutivo	300.00		300.00		90.00		100.00		790.00
BCL-5080	Nicolás Alejandro Herrera Vascones	Ejecutivo	350.00		300.00		108.00		100.00		858.00
BCL-5081	Mónica Patricia Escobar Quinde	Ejecutivo	260.00		300.00		162.00		0.00		722.00
BCL-5082	Gonzalo Antonio Rojas Molina	Ejecutivo	350.00		180.00		72.00		100.00		702.00
BCL-5083	Verónica Sofía Zambrano Rojas	Ejecutivo	400.00		180.00		126.00		100.00		806.00
BCL-5084	Jorge Fernando Carrión Peñaherrera	Ejecutivo	350.00		180.00		90.00		0.00		620.00
BCL-5085	Pablo Andrés Ochoa Alarcón	Ejecutivo	400.00		0.00		72.00		100.00		572.00
