external_id	display_name	role	c1_colocacion_credito_ejecutivo	c1_colocacion_credito_senior	c2_captacion_depositos_ejecutivo	c2_captacion_depositos_senior	c3_productos_cruzados_ejecutivo	c3_productos_cruzados_senior	c4_cumplimiento_regulatorio_ejecutivo	c4_cumplimiento_regulatorio_senior	Total_calc
BCL-5074	Silvia Sofía Cárdenas Chávez	Ejecutivo	430.00		180.00		90.00		100.00		800.00
BCL-5075	Elena Andrea Benítez Cortés	Ejecutivo	260.00		80.00		90.00		100.00		530.00
BCL-5076	Iván Sebastián Delgado Mendieta	Ejecutivo	260.00		180.00		144.00		100.00		684.00
BCL-5077	Alejandro José García Barrera	Ejecutivo Senior		260.00		0.00		275.00		150.00	685.00
BCL-5078	Rosa Carolina Reyes Delgado	Ejecutivo	110.00		80.00		108.00		100.00		398.00
BCL-5079	Daniela Fernanda Naranjo Trujillo	Ejecutivo	170.00		180.00		162.00		100.00		612.00
BCL-5080	Nicolás Alejandro Herrera Vascones	Ejecutivo	500.00		180.00		54.00		100.00		834.00
BCL-5081	Mónica Patricia Escobar Quinde	Ejecutivo	260.00		80.00		54.00		100.00		494.00
BCL-5082	Gonzalo Antonio Rojas Molina	Ejecutivo	170.00		80.00		108.00		0.00		358.00
BCL-5083	Verónica Sofía Zambrano Rojas	Ejecutivo	120.00		0.00		72.00		100.00		292.00
BCL-5084	Jorge Fernando Carrión Peñaherrera	Ejecutivo	120.00		300.00		108.00		100.00		628.00
BCL-5085	Pablo Andrés Ochoa Alarcón	Ejecutivo	120.00		80.00		144.00		100.00		444.00
