folio	date	hora_apertura	close_time	mesa	server_id	mesero_nombre	guests	turno	vta_comida	beverage_subtotal	descuento	comp	cancelado	subtotal	iva	total	propina	cash	tarjeta	forma_pago	store_id	tipo_servicio	descripcion_producto
CHQ-FRMX-CD-CDMX-001-20240208-0011	2024-02-08	22:23	12:32	14	MES-003	Luis Ramírez Torres	4	morning	157.5	52.5	8.4	3.15	0	210	31.75	230.2	27.78	230.2	0	efectivo	FRMX-CD-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-TV-CDMX-001-20240209-0012	2024-02-09	15:10	23:55	28	MES-007	Carmen Jiménez Ortiz	4	afternoon	365.25	121.75	0	7.31	9.74	487	75.19	545.14	65.79	0	545.14	tarjeta	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240210-0013	2024-02-10	18:34	20:46	2	MES-003	José Antonio López Hernández	1	morning	177.75	59.25	0	0	4.74	237	37.16	269.42	32.52	0	269.42	tarjeta	FRMX-MB-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-CD-MTY-001-20240211-0014	2024-02-11	15:56	19:59	29	MES-006	Ana Cruz Martínez	3	night	619.5	206.5	0	0	16.52	826	129.52	939	113.33	939	0	efectivo	FRMX-CD-MTY-001	dine_in	tacos_pastor
CHQ-FRMX-TV-GDL-001-20240205-0015	2024-02-05	18:34	21:41	16	MES-031	Sofía Reyes Morales	4	afternoon	99.75	33.25	0	2	0	133	20.96	151.96	18.34	151.96	0	efectivo	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240206-0016	2024-02-06	12:39	20:24	22	MES-021	José Antonio López Hernández	1	afternoon	401.25	133.75	0	8.03	0	535	84.32	611.29	73.78	611.29	0	efectivo	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240207-0017	2024-02-07	17:21	9:19	8	MES-021	Ana Cruz Martínez	3	afternoon	561.75	187.25	0	11.24	0	749	118.04	855.8	103.29	855.8	0	efectivo	FRMX-TV-CDMX-001	express	Pescado Zarandeado
CHQ-FRMX-MB-CDMX-001-20240208-0018	2024-02-08	13:30	12:31	18	MES-005	Luis Ramírez Torres	4	morning	97.5	32.5	0	1.95	0	130	20.49	148.54	17.93	0	148.54	tarjeta	FRMX-MB-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-CD-MTY-001-20240209-0019	2024-02-09	20:16	21:41	16	MES-039	José Antonio López Hernández	3	morning	595.5	198.5	0	0	15.88	794	124.5	902.62	108.94	902.62	0	efectivo	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240210-0020	2024-02-10	15:49	10:59	4	MES-033	Ana Cruz Martínez	2	morning	138.75	46.25	7.4	0	0	185	28.42	206.02	24.86	0	206.02	tarjeta	FRMX-TV-GDL-001	express	CORONA 355ML
CHQ-FRMX-CD-CDMX-001-20240211-0021	2024-02-11	20:04	16:01	28	MES-032	María Elena Gutiérrez Flores	2	afternoon	575.25	191.75	30.68	0	0	767	117.81	854.13	103.08	854.13	0	efectivo	FRMX-CD-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-TV-CDMX-001-20240205-0022	2024-02-05	14:42	21:16	12	MES-017	María Elena Gutiérrez Flores	3	afternoon	599.25	199.75	0	0	0	799	127.84	926.84	111.86	0	926.84	tarjeta	FRMX-TV-CDMX-001	express	Cerveza Corona
CHQ-FRMX-MB-CDMX-001-20240206-0023	2024-02-06	13:58	18:02	22	MES-020	Sofía Reyes Morales	2	morning	469.5	156.5	0	0	12.52	626	98.16	711.64	85.89	711.64	0	efectivo	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240207-0024	2024-02-07	12:50	22:57	7	MES-016	María Elena Gutiérrez Flores	1	night	459	153	24.48	9.18	12.24	612	90.58	656.68	79.25	0	656.68	tarjeta	FRMX-CD-MTY-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-GDL-001-20240208-0025	2024-02-08	12:52	10:34	17	MES-021	Diego Vázquez Castillo	1	night	597	199	0	11.94	15.92	796	122.9	891.04	107.54	891.04	0	efectivo	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240209-0026	2024-02-09	17:37	14:07	27	MES-009	Sofía Reyes Morales	4	afternoon	402.75	134.25	0	0	10.74	537	84.2	610.46	73.68	0	610.46	tarjeta	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-CDMX-001-20240210-0027	2024-02-10	17:34	22:50	28	MES-033	María Elena Gutiérrez Flores	4	afternoon	538.5	179.5	0	0	0	718	114.88	832.88	100.52	0	832.88	tarjeta	FRMX-TV-CDMX-001	express	Pescado Zarandeado
CHQ-FRMX-MB-CDMX-001-20240211-0028	2024-02-11	17:40	10:10	9	MES-034	José Antonio López Hernández	2	night	260.25	86.75	0	0	6.94	347	54.41	394.47	47.61	0	394.47	tarjeta	FRMX-MB-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-CD-MTY-001-20240205-0029	2024-02-05	7:20	8:14	5	MES-012	José Antonio López Hernández	1	night	443.25	147.75	23.64	0	11.82	591	88.89	644.43	77.78	644.43	0	efectivo	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240206-0030	2024-02-06	21:41	16:04	20	MES-033	Diego Vázquez Castillo	1	morning	130.5	43.5	0	2.61	3.48	174	26.87	194.78	23.51	194.78	0	efectivo	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240207-0031	2024-02-07	14:57	19:24	28	MES-034	Diego Vázquez Castillo	4	night	433.5	144.5	23.12	8.67	11.56	578	85.54	620.19	74.85	0	620.19	tarjeta	FRMX-CD-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-TV-CDMX-001-20240208-0032	2024-02-08	10:32	16:17	15	MES-009	Sofía Reyes Morales	4	morning	615	205	0	0	0	820	131.2	951.2	114.8	0	951.2	tarjeta	FRMX-TV-CDMX-001	express	Taco al Pastor
CHQ-FRMX-MB-CDMX-001-20240209-0033	2024-02-09	11:57	13:08	7	MES-031	María Elena Gutiérrez Flores	4	morning	474.75	158.25	25.32	9.49	12.66	633	93.68	679.21	81.97	679.21	0	efectivo	FRMX-MB-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-CD-MTY-001-20240210-0034	2024-02-10	11:39	21:35	30	MES-039	Diego Vázquez Castillo	1	night	671.25	223.75	0	0	17.9	895	140.34	1017.44	122.79	0	1017.44	tarjeta	FRMX-CD-MTY-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-GDL-001-20240211-0035	2024-02-11	11:51	21:14	9	MES-025	José Antonio López Hernández	1	afternoon	614.25	204.75	32.76	12.29	0	819	123.83	897.78	108.35	0	897.78	tarjeta	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240205-0036	2024-02-05	19:09	19:27	10	MES-034	Sofía Reyes Morales	2	night	117.75	39.25	0	2.36	3.14	157	24.24	175.74	21.21	0	175.74	tarjeta	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-CDMX-001-20240206-0037	2024-02-06	20:44	17:00	16	MES-002	Diego Vázquez Castillo	1	night	523.5	174.5	0	0	13.96	698	109.45	793.49	95.77	0	793.49	tarjeta	FRMX-TV-CDMX-001	express	tacos_pastor
CHQ-FRMX-MB-CDMX-001-20240207-0038	2024-02-07	13:56	16:57	22	MES-022	José Antonio López Hernández	3	morning	494.25	164.75	26.36	9.89	13.18	659	97.53	707.1	85.34	0	707.1	tarjeta	FRMX-MB-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-CD-MTY-001-20240208-0039	2024-02-08	18:47	11:18	5	MES-006	Pablo Mendoza Romero	3	afternoon	447	149	0	0	0	596	95.36	691.36	83.44	691.36	0	efectivo	FRMX-CD-MTY-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-GDL-001-20240209-0040	2024-02-09	20:59	13:04	13	MES-009	Luis Ramírez Torres	4	morning	627	209	0	0	16.72	836	131.08	950.36	114.7	0	950.36	tarjeta	FRMX-TV-GDL-001	express	Taco al Pastor
CHQ-FRMX-CD-CDMX-001-20240210-0041	2024-02-10	8:01	10:00	3	MES-033	María Elena Gutiérrez Flores	2	afternoon	161.25	53.75	0	0	0	215	34.4	249.4	30.1	0	249.4	tarjeta	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240211-0042	2024-02-11	9:38	14:41	24	MES-019	Carmen Jiménez Ortiz	2	night	501	167	0	0	0	668	106.88	774.88	93.52	774.88	0	efectivo	FRMX-TV-CDMX-001	express	Pescado Zarandeado
CHQ-FRMX-MB-CDMX-001-20240205-0043	2024-02-05	9:31	9:41	19	MES-009	Luis Ramírez Torres	3	afternoon	288.75	96.25	15.4	5.78	7.7	385	56.98	413.1	49.86	0	413.1	tarjeta	FRMX-MB-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-CD-MTY-001-20240206-0044	2024-02-06	21:30	14:53	22	MES-010	Pablo Mendoza Romero	1	afternoon	594	198	31.68	11.88	15.84	792	117.22	849.82	102.56	0	849.82	tarjeta	FRMX-CD-MTY-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-GDL-001-20240207-0045	2024-02-07	13:03	15:30	27	MES-029	María Elena Gutiérrez Flores	1	morning	429.75	143.25	0	0	11.46	573	89.85	651.39	78.62	651.39	0	efectivo	FRMX-TV-GDL-001	express	TACOS PASTOR
CHQ-FRMX-CD-CDMX-001-20240208-0046	2024-02-08	8:25	12:17	30	MES-001	José Antonio López Hernández	3	night	111.75	37.25	5.96	0	2.98	149	22.41	162.47	19.61	162.47	0	efectivo	FRMX-CD-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-CDMX-001-20240209-0047	2024-02-09	20:16	9:05	10	MES-005	Ana Cruz Martínez	4	night	483.75	161.25	25.8	9.67	12.9	645	95.46	692.09	83.53	0	692.09	tarjeta	FRMX-TV-CDMX-001	express	Pescado Zarandeado
CHQ-FRMX-MB-CDMX-001-20240210-0048	2024-02-10	19:01	17:25	14	MES-024	Diego Vázquez Castillo	2	afternoon	169.5	56.5	0	0	0	226	36.16	262.16	31.64	262.16	0	efectivo	FRMX-MB-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-CD-MTY-001-20240211-0049	2024-02-11	12:39	17:20	15	MES-027	Diego Vázquez Castillo	1	night	300.75	100.25	0	0	0	401	64.16	465.16	56.14	0	465.16	tarjeta	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240205-0050	2024-02-05	19:51	21:18	5	MES-033	Luis Ramírez Torres	4	night	664.5	221.5	0	0	17.72	886	138.92	1007.2	121.56	0	1007.2	tarjeta	FRMX-TV-GDL-001	express	Pescado Zarandeado
CHQ-FRMX-CD-CDMX-001-20240206-0051	2024-02-06	21:45	16:32	16	MES-015	Carmen Jiménez Ortiz	1	night	261.75	87.25	0	0	0	349	55.84	404.84	48.86	0	404.84	tarjeta	FRMX-CD-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-CDMX-001-20240207-0052	2024-02-07	16:35	23:42	20	MES-001	Diego Vázquez Castillo	2	night	231.75	77.25	12.36	0	0	309	47.46	344.1	41.53	0	344.1	tarjeta	FRMX-TV-CDMX-001	express	tacos_pastor
CHQ-FRMX-MB-CDMX-001-20240208-0053	2024-02-08	19:02	16:19	19	MES-033	Carmen Jiménez Ortiz	3	night	584.25	194.75	31.16	0	15.58	779	117.16	849.42	102.52	0	849.42	tarjeta	FRMX-MB-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-CD-MTY-001-20240209-0054	2024-02-09	14:52	23:03	26	MES-032	Sofía Reyes Morales	3	morning	93.75	31.25	5	0	0	125	19.2	139.2	16.8	139.2	0	efectivo	FRMX-CD-MTY-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-GDL-001-20240210-0055	2024-02-10	21:39	22:23	3	MES-017	Ana Cruz Martínez	3	morning	255	85	0	0	0	340	54.4	394.4	47.6	394.4	0	efectivo	FRMX-TV-GDL-001	express	Taco al Pastor
CHQ-FRMX-CD-CDMX-001-20240211-0056	2024-02-11	21:08	10:30	22	MES-036	José Antonio López Hernández	1	morning	516.75	172.25	27.56	10.34	0	689	104.18	755.28	91.15	755.28	0	efectivo	FRMX-CD-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-CDMX-001-20240205-0057	2024-02-05	13:54	23:12	12	MES-028	Pablo Mendoza Romero	1	morning	648	216	0	12.96	0	864	136.17	987.21	119.15	0	987.21	tarjeta	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240206-0058	2024-02-06	14:37	18:12	11	MES-018	Luis Ramírez Torres	1	night	547.5	182.5	0	0	14.6	730	114.46	829.86	100.16	0	829.86	tarjeta	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240207-0059	2024-02-07	15:04	8:43	18	MES-009	Ana Cruz Martínez	1	afternoon	216.75	72.25	0	0	5.78	289	45.32	328.54	39.65	328.54	0	efectivo	FRMX-CD-MTY-001	dine_in	Margarita
CHQ-FRMX-TV-GDL-001-20240208-0060	2024-02-08	10:41	15:50	24	MES-012	Pablo Mendoza Romero	3	afternoon	369.75	123.25	0	0	9.86	493	77.3	560.44	67.64	0	560.44	tarjeta	FRMX-TV-GDL-001	express	TACOS PASTOR
CHQ-FRMX-CD-CDMX-001-20240209-0061	2024-02-09	18:58	11:41	12	MES-031	Pablo Mendoza Romero	2	night	370.5	123.5	19.76	0	0	494	75.88	550.12	66.39	0	550.12	tarjeta	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-CDMX-001-20240210-0062	2024-02-10	19:48	13:08	29	MES-031	Carmen Jiménez Ortiz	1	morning	307.5	102.5	16.4	0	0	410	62.98	456.58	55.1	456.58	0	efectivo	FRMX-TV-CDMX-001	express	Taco al Pastor
CHQ-FRMX-MB-CDMX-001-20240211-0063	2024-02-11	19:15	13:21	24	MES-030	Carmen Jiménez Ortiz	4	afternoon	635.25	211.75	33.88	0	0	847	130.1	943.22	113.84	943.22	0	efectivo	FRMX-MB-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-CD-MTY-001-20240205-0064	2024-02-05	8:27	8:19	10	MES-014	Diego Vázquez Castillo	3	night	545.25	181.75	0	0	0	727	116.32	843.32	101.78	843.32	0	efectivo	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240206-0065	2024-02-06	15:47	22:57	15	MES-038	Carmen Jiménez Ortiz	4	morning	591	197	31.52	0	0	788	121.04	877.52	105.91	877.52	0	efectivo	FRMX-TV-GDL-001	express	Pescado Zarandeado
CHQ-FRMX-CD-CDMX-001-20240207-0066	2024-02-07	8:14	19:42	15	MES-030	José Antonio López Hernández	4	night	166.5	55.5	8.88	0	4.44	222	33.39	242.07	29.22	242.07	0	efectivo	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-CDMX-001-20240208-0067	2024-02-08	18:26	10:03	9	MES-014	Luis Ramírez Torres	1	night	115.5	38.5	0	0	0	154	24.64	178.64	21.56	178.64	0	efectivo	FRMX-TV-CDMX-001	express	Orden Tacos Pastor
CHQ-FRMX-MB-CDMX-001-20240209-0068	2024-02-09	18:02	10:36	16	MES-030	María Elena Gutiérrez Flores	1	night	513	171	0	0	0	684	109.44	793.44	95.76	793.44	0	efectivo	FRMX-MB-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-CD-MTY-001-20240210-0069	2024-02-10	17:27	13:20	15	MES-021	Sofía Reyes Morales	3	afternoon	141.75	47.25	7.56	0	0	189	29.03	210.47	25.4	210.47	0	efectivo	FRMX-CD-MTY-001	dine_in	tacos_pastor
CHQ-FRMX-TV-GDL-001-20240211-0070	2024-02-11	14:04	11:47	22	MES-025	José Antonio López Hernández	4	afternoon	609	203	32.48	0	0	812	124.72	904.24	109.13	904.24	0	efectivo	FRMX-TV-GDL-001	express	Pescado Zarandeado
CHQ-FRMX-CD-CDMX-001-20240205-0071	2024-02-05	20:38	14:11	4	MES-011	María Elena Gutiérrez Flores	1	afternoon	441.75	147.25	23.56	0	0	589	90.47	655.91	79.16	0	655.91	tarjeta	FRMX-CD-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-TV-CDMX-001-20240206-0072	2024-02-06	15:17	11:59	20	MES-028	Diego Vázquez Castillo	1	afternoon	533.25	177.75	28.44	0	0	711	109.21	791.77	95.56	0	791.77	tarjeta	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240207-0073	2024-02-07	15:38	17:08	25	MES-009	Ana Cruz Martínez	4	morning	584.25	194.75	0	0	0	779	124.64	903.64	109.06	0	903.64	tarjeta	FRMX-MB-CDMX-001	dine_in	Cerveza Corona
CHQ-FRMX-CD-MTY-001-20240208-0074	2024-02-08	10:22	14:05	4	MES-035	Carmen Jiménez Ortiz	4	night	319.5	106.5	0	0	8.52	426	66.8	484.28	58.45	484.28	0	efectivo	FRMX-CD-MTY-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-GDL-001-20240209-0075	2024-02-09	20:56	20:18	25	MES-019	Luis Ramírez Torres	2	morning	364.5	121.5	19.44	0	0	486	74.65	541.21	65.32	0	541.21	tarjeta	FRMX-TV-GDL-001	express	tacos_pastor
CHQ-FRMX-CD-CDMX-001-20240210-0076	2024-02-10	7:07	15:54	26	MES-026	Ana Cruz Martínez	2	afternoon	313.5	104.5	16.72	6.27	0	418	63.2	458.21	55.3	0	458.21	tarjeta	FRMX-CD-CDMX-001	dine_in	Margarita
CHQ-FRMX-TV-CDMX-001-20240211-0077	2024-02-11	12:01	10:57	3	MES-031	María Elena Gutiérrez Flores	1	night	622.5	207.5	33.2	0	0	830	127.49	924.29	111.55	924.29	0	efectivo	FRMX-TV-CDMX-001	express	PESC ZARAND
CHQ-FRMX-MB-CDMX-001-20240205-0078	2024-02-05	18:30	8:35	30	MES-031	Pablo Mendoza Romero	1	afternoon	201.75	67.25	0	0	5.38	269	42.18	305.8	36.91	0	305.8	tarjeta	FRMX-MB-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-CD-MTY-001-20240206-0079	2024-02-06	19:15	8:36	18	MES-001	María Elena Gutiérrez Flores	4	afternoon	273.75	91.25	0	5.48	0	365	57.52	417.04	50.33	0	417.04	tarjeta	FRMX-CD-MTY-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-GDL-001-20240207-0080	2024-02-07	14:44	13:08	21	MES-012	María Elena Gutiérrez Flores	4	night	290.25	96.75	15.48	0	0	387	59.44	430.96	52.01	0	430.96	tarjeta	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240208-0081	2024-02-08	9:45	18:49	20	MES-012	Pablo Mendoza Romero	3	morning	401.25	133.75	21.4	8.03	0	535	80.89	586.46	70.78	586.46	0	efectivo	FRMX-CD-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-TV-CDMX-001-20240209-0082	2024-02-09	13:42	9:53	21	MES-006	Pablo Mendoza Romero	1	afternoon	280.5	93.5	0	0	7.48	374	58.64	425.16	51.31	0	425.16	tarjeta	FRMX-TV-CDMX-001	express	Cerveza Corona
CHQ-FRMX-MB-CDMX-001-20240210-0083	2024-02-10	15:58	23:31	21	MES-023	Ana Cruz Martínez	1	morning	258	86	13.76	0	0	344	52.84	383.08	46.23	383.08	0	efectivo	FRMX-MB-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-CD-MTY-001-20240211-0084	2024-02-11	13:53	17:30	21	MES-006	Ana Cruz Martínez	1	afternoon	577.5	192.5	0	11.55	15.4	770	118.89	861.94	104.03	0	861.94	tarjeta	FRMX-CD-MTY-001	dine_in	Cerveza Corona
CHQ-FRMX-TV-GDL-001-20240205-0085	2024-02-05	8:06	13:05	6	MES-034	María Elena Gutiérrez Flores	3	afternoon	298.5	99.5	0	5.97	0	398	62.72	454.75	54.88	454.75	0	efectivo	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240206-0086	2024-02-06	13:59	13:25	16	MES-018	Pablo Mendoza Romero	1	afternoon	410.25	136.75	0	0	0	547	87.52	634.52	76.58	634.52	0	efectivo	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240207-0087	2024-02-07	15:43	20:23	23	MES-019	Carmen Jiménez Ortiz	4	afternoon	540	180	28.8	0	0	720	110.59	801.79	96.77	0	801.79	tarjeta	FRMX-TV-CDMX-001	express	tacos_pastor
CHQ-FRMX-MB-CDMX-001-20240208-0088	2024-02-08	8:59	20:46	16	MES-022	Carmen Jiménez Ortiz	4	night	395.25	131.75	0	0	10.54	527	82.63	599.09	72.3	0	599.09	tarjeta	FRMX-MB-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-CD-MTY-001-20240209-0089	2024-02-09	17:54	19:45	17	MES-015	Sofía Reyes Morales	3	morning	643.5	214.5	0	0	17.16	858	134.53	975.37	117.72	975.37	0	efectivo	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240210-0090	2024-02-10	20:51	16:58	8	MES-020	Carmen Jiménez Ortiz	3	morning	662.25	220.75	0	0	0	883	141.28	1024.28	123.62	0	1024.28	tarjeta	FRMX-TV-GDL-001	express	PESC ZARAND
CHQ-FRMX-CD-CDMX-001-20240211-0091	2024-02-11	15:07	19:24	7	MES-028	Carmen Jiménez Ortiz	4	morning	555	185	0	11.1	14.8	740	114.26	828.36	99.97	0	828.36	tarjeta	FRMX-CD-CDMX-001	dine_in	Margarita
CHQ-FRMX-TV-CDMX-001-20240205-0092	2024-02-05	17:40	16:48	30	MES-031	Pablo Mendoza Romero	3	morning	347.25	115.75	18.52	6.94	0	463	70.01	507.55	61.26	0	507.55	tarjeta	FRMX-TV-CDMX-001	express	margarita clasica
CHQ-FRMX-MB-CDMX-001-20240206-0093	2024-02-06	8:45	21:49	17	MES-034	Diego Vázquez Castillo	2	night	166.5	55.5	8.88	0	0	222	34.1	247.22	29.84	0	247.22	tarjeta	FRMX-MB-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-CD-MTY-001-20240207-0094	2024-02-07	10:51	10:14	19	MES-008	Diego Vázquez Castillo	1	afternoon	303	101	16.16	0	8.08	404	60.76	440.52	53.17	0	440.52	tarjeta	FRMX-CD-MTY-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-GDL-001-20240208-0095	2024-02-08	11:38	18:03	14	MES-034	Ana Cruz Martínez	1	afternoon	95.25	31.75	0	0	2.54	127	19.91	144.37	17.42	0	144.37	tarjeta	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240209-0096	2024-02-09	7:27	13:20	27	MES-022	Ana Cruz Martínez	4	morning	105	35	0	0	2.8	140	21.95	159.15	19.21	0	159.15	tarjeta	FRMX-CD-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-TV-CDMX-001-20240210-0097	2024-02-10	17:00	22:51	2	MES-011	Diego Vázquez Castillo	2	afternoon	477	159	0	0	12.72	636	99.72	723	87.26	0	723	tarjeta	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240211-0098	2024-02-11	13:42	16:21	4	MES-015	María Elena Gutiérrez Flores	4	night	305.25	101.75	16.28	0	8.14	407	61.21	443.79	53.56	0	443.79	tarjeta	FRMX-MB-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-CD-MTY-001-20240205-0099	2024-02-05	19:26	8:43	25	MES-012	Diego Vázquez Castillo	2	afternoon	242.25	80.75	0	0	0	323	51.68	374.68	45.22	0	374.68	tarjeta	FRMX-CD-MTY-001	dine_in	tacos_pastor
CHQ-FRMX-TV-GDL-001-20240206-0100	2024-02-06	13:04	10:51	3	MES-013	María Elena Gutiérrez Flores	1	night	610.5	203.5	0	0	0	814	130.24	944.24	113.96	0	944.24	tarjeta	FRMX-TV-GDL-001	express	CORONA 355ML
CHQ-FRMX-CD-CDMX-001-20240207-0101	2024-02-07	19:43	8:45	6	MES-032	Sofía Reyes Morales	1	afternoon	612.75	204.25	32.68	12.26	0	817	123.53	895.59	108.09	895.59	0	efectivo	FRMX-CD-CDMX-001	dine_in	Orden Tacos Pastor
