folio	fecha	hora_apertura	hora_cierre	mesa	mesero_id	mesero_nombre	num_comensales	turno	subtotal_alimentos	subtotal_bebidas	descuento	cortesia	cancelado	subtotal	iva	total	propina	efectivo	tarjeta	forma_pago	sucursal_id	tipo_servicio
CHQ-FRMX-TV-GDL-001-20240122-0015	2024-01-22	11:29	19:05	28	MES-039	José Antonio López Hernández	2	morning	146.25	48.75	7.8	2.93	3.9	195	28.86	209.23	25.25	209.23	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240123-0016	2024-01-23	15:26	17:37	13	MES-037	José Antonio López Hernández	1	afternoon	151.5	50.5	8.08	0	4.04	202	30.38	220.26	26.58	0	220.26	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240124-0017	2024-01-24	9:37	18:13	4	MES-025	Diego Vázquez Castillo	1	morning	194.25	64.75	0	3.89	0	259	40.82	295.93	35.72	0	295.93	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240125-0018	2024-01-25	13:55	19:33	13	MES-040	Pablo Mendoza Romero	1	afternoon	224.25	74.75	11.96	0	0	299	45.93	332.97	40.19	0	332.97	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240126-0019	2024-01-26	9:05	8:57	9	MES-016	María Elena Gutiérrez Flores	1	night	473.25	157.75	25.24	0	12.62	631	94.9	688.04	83.04	0	688.04	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240127-0020	2024-01-27	9:00	20:48	6	MES-022	María Elena Gutiérrez Flores	2	afternoon	112.5	37.5	0	2.25	3	150	23.16	167.91	20.27	0	167.91	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240128-0021	2024-01-28	14:40	12:05	11	MES-010	Ana Cruz Martínez	1	night	474.75	158.25	0	0	12.66	633	99.25	719.59	86.85	719.59	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240122-0022	2024-01-22	19:48	13:16	29	MES-032	Pablo Mendoza Romero	3	afternoon	254.25	84.75	0	0	6.78	339	53.16	385.38	46.51	385.38	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240123-0023	2024-01-23	14:47	20:00	14	MES-033	Sofía Reyes Morales	1	morning	506.25	168.75	0	0	0	675	108	783	94.5	783	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240124-0024	2024-01-24	21:19	12:29	11	MES-008	Luis Ramírez Torres	1	night	189	63	10.08	0	0	252	38.71	280.63	33.87	0	280.63	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240125-0025	2024-01-25	21:00	9:41	14	MES-010	Sofía Reyes Morales	4	afternoon	246.75	82.25	13.16	0	6.58	329	49.48	358.74	43.3	358.74	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240126-0026	2024-01-26	18:42	10:59	10	MES-026	Luis Ramírez Torres	3	morning	576	192	0	11.52	15.36	768	118.58	859.7	103.76	0	859.7	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240127-0027	2024-01-27	17:00	21:00	1	MES-038	María Elena Gutiérrez Flores	2	morning	216.75	72.25	0	0	0	289	46.24	335.24	40.46	335.24	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240128-0028	2024-01-28	22:49	17:40	25	MES-028	José Antonio López Hernández	1	night	622.5	207.5	33.2	12.45	0	830	125.5	909.85	109.81	0	909.85	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240122-0029	2024-01-22	17:35	13:01	13	MES-040	María Elena Gutiérrez Flores	3	afternoon	572.25	190.75	30.52	0	15.26	763	114.76	831.98	100.41	0	831.98	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240123-0030	2024-01-23	16:54	19:00	22	MES-035	Luis Ramírez Torres	2	morning	653.25	217.75	0	0	17.42	871	136.57	990.15	119.5	0	990.15	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240124-0031	2024-01-24	20:23	11:53	11	MES-017	Ana Cruz Martínez	2	night	405	135	21.6	8.1	0	540	81.65	591.95	71.44	0	591.95	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240125-0032	2024-01-25	16:09	15:27	13	MES-017	Pablo Mendoza Romero	3	afternoon	426.75	142.25	0	8.54	0	569	89.67	650.13	78.46	0	650.13	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240126-0033	2024-01-26	8:11	16:39	15	MES-032	Luis Ramírez Torres	2	afternoon	515.25	171.75	0	0	13.74	687	107.72	780.98	94.26	0	780.98	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240127-0034	2024-01-27	15:35	8:48	3	MES-029	Ana Cruz Martínez	1	morning	639.75	213.25	0	12.8	17.06	853	131.7	954.84	115.24	954.84	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240128-0035	2024-01-28	12:56	21:22	24	MES-013	José Antonio López Hernández	2	night	251.25	83.75	13.4	5.02	0	335	50.65	367.23	44.32	0	367.23	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240122-0036	2024-01-22	18:58	13:52	11	MES-034	José Antonio López Hernández	4	morning	223.5	74.5	11.92	0	5.96	298	44.82	324.94	39.22	324.94	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240123-0037	2024-01-23	8:02	16:18	4	MES-037	Carmen Jiménez Ortiz	1	afternoon	130.5	43.5	0	0	3.48	174	27.28	197.8	23.87	197.8	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240124-0038	2024-01-24	18:27	13:07	27	MES-029	Carmen Jiménez Ortiz	1	morning	264	88	0	5.28	7.04	352	54.35	394.03	47.56	0	394.03	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240125-0039	2024-01-25	10:41	18:13	1	MES-011	Carmen Jiménez Ortiz	1	night	296.25	98.75	15.8	0	0	395	60.67	439.87	53.09	0	439.87	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240126-0040	2024-01-26	9:49	15:41	10	MES-026	Luis Ramírez Torres	1	morning	345	115	0	0	0	460	73.6	533.6	64.4	0	533.6	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240127-0041	2024-01-27	12:24	16:22	18	MES-007	Ana Cruz Martínez	4	afternoon	563.25	187.75	0	0	0	751	120.16	871.16	105.14	0	871.16	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240128-0042	2024-01-28	18:58	9:22	1	MES-026	Ana Cruz Martínez	2	night	504.75	168.25	0	0	0	673	107.68	780.68	94.22	0	780.68	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240122-0043	2024-01-22	11:28	12:11	8	MES-034	Diego Vázquez Castillo	3	morning	386.25	128.75	0	0	0	515	82.4	597.4	72.1	0	597.4	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240123-0044	2024-01-23	19:15	19:19	4	MES-035	Diego Vázquez Castillo	2	afternoon	363	121	19.36	0	9.68	484	72.79	527.75	63.69	0	527.75	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240124-0045	2024-01-24	11:38	19:35	30	MES-020	Sofía Reyes Morales	1	afternoon	511.5	170.5	27.28	0	13.64	682	102.57	743.65	89.75	743.65	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240125-0046	2024-01-25	18:14	19:09	17	MES-006	Ana Cruz Martínez	2	night	261.75	87.25	13.96	5.24	6.98	349	51.65	374.47	45.19	0	374.47	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240126-0047	2024-01-26	8:02	20:52	26	MES-036	María Elena Gutiérrez Flores	3	night	393.75	131.25	21	0	0	525	80.64	584.64	70.56	0	584.64	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240127-0048	2024-01-27	19:28	9:12	27	MES-031	Ana Cruz Martínez	2	night	541.5	180.5	28.88	10.83	0	722	109.17	791.46	95.52	0	791.46	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240128-0049	2024-01-28	21:05	20:01	22	MES-018	Ana Cruz Martínez	4	afternoon	165	55	0	3.3	4.4	220	33.97	246.27	29.72	246.27	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240122-0050	2024-01-22	13:16	19:58	11	MES-022	José Antonio López Hernández	2	afternoon	275.25	91.75	14.68	0	7.34	367	55.2	400.18	48.3	0	400.18	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240123-0051	2024-01-23	10:24	8:22	6	MES-030	Ana Cruz Martínez	1	night	569.25	189.75	30.36	0	15.18	759	114.15	827.61	99.88	0	827.61	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240124-0052	2024-01-24	19:33	21:05	9	MES-015	Luis Ramírez Torres	2	afternoon	520.5	173.5	0	10.41	13.88	694	107.15	776.86	93.76	776.86	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240125-0053	2024-01-25	18:08	12:38	20	MES-025	María Elena Gutiérrez Flores	4	morning	471	157	25.12	9.42	0	628	94.95	688.41	83.08	688.41	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240126-0054	2024-01-26	16:30	20:49	24	MES-007	Ana Cruz Martínez	2	afternoon	332.25	110.75	0	0	8.86	443	69.46	503.6	60.78	503.6	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240127-0055	2024-01-27	13:15	16:18	9	MES-029	Pablo Mendoza Romero	4	morning	263.25	87.75	14.04	0	7.02	351	52.79	382.73	46.19	0	382.73	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240128-0056	2024-01-28	19:40	20:04	6	MES-036	María Elena Gutiérrez Flores	1	morning	123	41	0	2.46	0	164	25.85	187.39	22.62	187.39	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240122-0057	2024-01-22	7:59	12:55	30	MES-030	Pablo Mendoza Romero	4	morning	339.75	113.25	18.12	0	0	453	69.58	504.46	60.88	504.46	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240123-0058	2024-01-23	9:16	15:49	3	MES-004	Ana Cruz Martínez	4	night	552.75	184.25	0	0	14.74	737	115.56	837.82	101.12	0	837.82	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240124-0059	2024-01-24	15:50	8:33	29	MES-003	Luis Ramírez Torres	1	morning	352.5	117.5	0	7.05	9.4	470	72.57	526.12	63.5	526.12	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240125-0060	2024-01-25	11:50	14:31	28	MES-012	Luis Ramírez Torres	2	night	234	78	12.48	0	0	312	47.92	347.44	41.93	0	347.44	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240126-0061	2024-01-26	17:56	12:05	13	MES-013	Ana Cruz Martínez	1	morning	430.5	143.5	0	0	11.48	574	90	652.52	78.75	652.52	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240127-0062	2024-01-27	7:53	8:43	2	MES-005	Pablo Mendoza Romero	2	night	124.5	41.5	0	2.49	0	166	26.16	189.67	22.89	0	189.67	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240128-0063	2024-01-28	15:38	12:54	1	MES-023	José Antonio López Hernández	1	morning	216	72	11.52	0	5.76	288	43.32	314.04	37.9	314.04	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240122-0064	2024-01-22	20:31	15:57	22	MES-036	Carmen Jiménez Ortiz	2	afternoon	141.75	47.25	0	0	3.78	189	29.64	214.86	25.93	0	214.86	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240123-0065	2024-01-23	19:35	13:18	20	MES-019	Carmen Jiménez Ortiz	2	afternoon	615.75	205.25	0	0	0	821	131.36	952.36	114.94	0	952.36	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240124-0066	2024-01-24	13:49	20:56	25	MES-034	José Antonio López Hernández	3	afternoon	460.5	153.5	24.56	0	0	614	94.31	683.75	82.52	0	683.75	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240125-0067	2024-01-25	11:41	19:16	19	MES-009	María Elena Gutiérrez Flores	3	afternoon	155.25	51.75	8.28	3.11	4.14	207	30.64	222.11	26.81	222.11	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240126-0068	2024-01-26	13:43	20:43	24	MES-025	Carmen Jiménez Ortiz	2	afternoon	138	46	0	0	3.68	184	28.85	209.17	25.24	0	209.17	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240127-0069	2024-01-27	14:46	23:37	30	MES-023	María Elena Gutiérrez Flores	2	afternoon	636	212	33.92	0	0	848	130.25	944.33	113.97	944.33	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240128-0070	2024-01-28	21:26	11:47	15	MES-026	Carmen Jiménez Ortiz	1	night	589.5	196.5	31.44	0	0	786	120.73	875.29	105.64	0	875.29	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240122-0071	2024-01-22	15:29	8:23	21	MES-029	Ana Cruz Martínez	2	afternoon	391.5	130.5	20.88	0	10.44	522	78.51	569.19	68.7	0	569.19	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240123-0072	2024-01-23	19:31	10:00	20	MES-022	José Antonio López Hernández	3	morning	186	62	0	3.72	0	248	39.08	283.36	34.2	0	283.36	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240124-0073	2024-01-24	12:31	12:37	13	MES-011	Diego Vázquez Castillo	4	night	132.75	44.25	0	2.66	0	177	27.89	202.23	24.41	202.23	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240125-0074	2024-01-25	21:54	18:39	22	MES-038	Ana Cruz Martínez	2	morning	247.5	82.5	0	0	6.6	330	51.74	375.14	45.28	0	375.14	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240126-0075	2024-01-26	15:44	8:02	30	MES-040	José Antonio López Hernández	3	night	220.5	73.5	11.76	0	0	294	45.16	327.4	39.51	327.4	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240127-0076	2024-01-27	21:10	14:21	17	MES-026	Luis Ramírez Torres	1	morning	254.25	84.75	13.56	0	6.78	339	50.99	369.65	44.61	0	369.65	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240128-0077	2024-01-28	22:17	10:59	23	MES-013	Pablo Mendoza Romero	3	afternoon	233.25	77.75	0	4.67	6.22	311	48.02	348.13	42.02	0	348.13	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240122-0078	2024-01-22	19:03	20:34	21	MES-017	Diego Vázquez Castillo	4	morning	523.5	174.5	27.92	10.47	13.96	698	103.3	748.95	90.39	0	748.95	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240123-0079	2024-01-23	17:19	18:11	19	MES-021	Luis Ramírez Torres	2	morning	462	154	0	0	12.32	616	96.59	700.27	84.52	0	700.27	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240124-0080	2024-01-24	10:17	22:02	7	MES-028	Diego Vázquez Castillo	1	night	423.75	141.25	22.6	0	11.3	565	84.98	616.08	74.35	616.08	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240125-0081	2024-01-25	14:59	21:29	24	MES-012	Pablo Mendoza Romero	3	morning	252.75	84.25	13.48	0	6.74	337	50.68	367.46	44.35	0	367.46	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240126-0082	2024-01-26	14:59	8:11	16	MES-036	Diego Vázquez Castillo	4	morning	264	88	0	5.28	0	352	55.48	402.2	48.54	0	402.2	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240127-0083	2024-01-27	13:24	14:37	16	MES-014	José Antonio López Hernández	1	afternoon	190.5	63.5	10.16	0	5.08	254	38.2	276.96	33.43	0	276.96	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240128-0084	2024-01-28	19:43	21:39	26	MES-011	Carmen Jiménez Ortiz	1	afternoon	226.5	75.5	0	4.53	0	302	47.6	345.07	41.65	0	345.07	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240122-0085	2024-01-22	16:55	14:16	3	MES-011	Pablo Mendoza Romero	4	night	183	61	9.76	3.66	0	244	36.89	267.47	32.28	267.47	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240123-0086	2024-01-23	16:15	15:22	27	MES-034	Ana Cruz Martínez	4	night	618	206	32.96	0	0	824	126.57	917.61	110.75	0	917.61	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240124-0087	2024-01-24	14:29	16:59	12	MES-019	José Antonio López Hernández	2	night	549	183	0	0	0	732	117.12	849.12	102.48	849.12	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240125-0088	2024-01-25	21:02	11:59	29	MES-036	Diego Vázquez Castillo	1	night	313.5	104.5	0	0	0	418	66.88	484.88	58.52	0	484.88	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240126-0089	2024-01-26	21:21	9:03	6	MES-019	Diego Vázquez Castillo	1	night	465.75	155.25	0	0	0	621	99.36	720.36	86.94	720.36	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240127-0090	2024-01-27	11:33	20:48	23	MES-038	Sofía Reyes Morales	2	morning	420.75	140.25	0	0	11.22	561	87.96	637.74	76.97	0	637.74	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240128-0091	2024-01-28	17:51	19:17	23	MES-016	Carmen Jiménez Ortiz	2	morning	481.5	160.5	0	9.63	0	642	101.18	733.55	88.53	733.55	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240122-0092	2024-01-22	11:46	12:53	9	MES-035	Diego Vázquez Castillo	2	afternoon	318.75	106.25	17	0	8.5	425	63.92	463.42	55.93	0	463.42	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240123-0093	2024-01-23	12:37	12:58	9	MES-005	Ana Cruz Martínez	2	afternoon	657.75	219.25	0	0	17.54	877	137.51	996.97	120.32	0	996.97	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240124-0094	2024-01-24	7:14	9:08	26	MES-011	Luis Ramírez Torres	3	morning	366	122	0	0	0	488	78.08	566.08	68.32	566.08	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240125-0095	2024-01-25	15:31	15:14	27	MES-005	Diego Vázquez Castillo	4	morning	413.25	137.75	0	8.27	11.02	551	85.07	616.78	74.44	0	616.78	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240126-0096	2024-01-26	16:55	17:46	5	MES-011	Sofía Reyes Morales	2	morning	433.5	144.5	0	0	0	578	92.48	670.48	80.92	670.48	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240127-0097	2024-01-27	8:41	22:03	26	MES-030	Pablo Mendoza Romero	2	afternoon	486	162	0	0	12.96	648	101.61	736.65	88.91	736.65	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240128-0098	2024-01-28	20:13	17:55	19	MES-023	Diego Vázquez Castillo	3	night	114	38	0	0	3.04	152	23.83	172.79	20.85	172.79	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240122-0099	2024-01-22	13:55	17:08	28	MES-014	José Antonio López Hernández	1	afternoon	173.25	57.75	9.24	3.47	0	231	34.93	253.22	30.56	253.22	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240123-0100	2024-01-23	7:23	23:02	24	MES-012	José Antonio López Hernández	1	night	258	86	13.76	5.16	0	344	52.01	377.09	45.51	377.09	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240124-0101	2024-01-24	12:45	19:30	15	MES-020	Diego Vázquez Castillo	2	night	512.25	170.75	0	0	13.66	683	107.09	776.43	93.71	776.43	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240125-0102	2024-01-25	18:11	14:08	11	MES-016	Pablo Mendoza Romero	1	night	141	47	7.52	2.82	0	188	28.43	206.09	24.87	206.09	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240126-0103	2024-01-26	13:53	23:51	19	MES-008	Pablo Mendoza Romero	1	afternoon	447	149	0	0	0	596	95.36	691.36	83.44	0	691.36	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240127-0104	2024-01-27	8:07	18:21	16	MES-036	José Antonio López Hernández	2	afternoon	386.25	128.75	20.6	0	0	515	79.1	573.5	69.22	0	573.5	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240128-0105	2024-01-28	20:23	17:24	21	MES-021	Ana Cruz Martínez	2	morning	331.5	110.5	0	0	0	442	70.72	512.72	61.88	512.72	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240122-0106	2024-01-22	16:52	12:00	14	MES-013	Carmen Jiménez Ortiz	1	afternoon	393.75	131.25	21	0	0	525	80.64	584.64	70.56	584.64	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240123-0107	2024-01-23	15:23	8:32	5	MES-031	María Elena Gutiérrez Flores	3	morning	216	72	0	0	5.76	288	45.16	327.4	39.51	0	327.4	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240124-0108	2024-01-24	22:16	16:48	28	MES-013	Sofía Reyes Morales	1	morning	600	200	32	0	0	800	122.88	890.88	107.52	890.88	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240125-0109	2024-01-25	16:00	13:20	7	MES-007	José Antonio López Hernández	4	afternoon	609.75	203.25	0	12.2	0	813	128.13	928.93	112.11	0	928.93	tarjeta	FRMX-CD-MTY-001	dine_in
