receipt_number	date	open_time	close_time	table	server_id	server_name	guests	shift	food_subtotal	beverage_subtotal	discount	comp	voided	subtotal	tax	total	tip	cash	card	payment_method	store_id	service_type
CHQ-FRMX-TV-GDL-001-20240132-0025	2024-01-32	17:53	23:07	3	MES-010	Luis Ramírez Torres	1	morning	391.5	130.5	20.88	7.83	0	522	78.93	572.22	69.06	572.22	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240133-0026	2024-01-33	20:29	19:48	1	MES-037	José Antonio López Hernández	2	morning	240.75	80.25	0	0	6.42	321	50.33	364.91	44.04	0	364.91	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240134-0027	2024-01-34	14:34	21:10	21	MES-020	Pablo Mendoza Romero	2	afternoon	558.75	186.25	0	11.18	14.9	745	115.03	833.95	100.65	0	833.95	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240135-0028	2024-01-35	18:13	23:46	26	MES-039	Carmen Jiménez Ortiz	3	morning	455.25	151.75	24.28	0	0	607	93.24	675.96	81.58	675.96	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240129-0029	2024-01-29	10:08	15:03	22	MES-020	Luis Ramírez Torres	1	night	575.25	191.75	0	0	15.34	767	120.27	871.93	105.23	0	871.93	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240130-0030	2024-01-30	20:24	12:05	12	MES-031	María Elena Gutiérrez Flores	3	afternoon	401.25	133.75	0	0	10.7	535	83.89	608.19	73.4	0	608.19	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240131-0031	2024-01-31	17:03	17:16	29	MES-012	María Elena Gutiérrez Flores	3	morning	480	160	25.6	0	0	640	98.3	712.7	86.02	712.7	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240132-0032	2024-01-32	14:04	8:46	7	MES-038	Luis Ramírez Torres	2	night	284.25	94.75	15.16	0	0	379	58.21	422.05	50.94	0	422.05	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240133-0033	2024-01-33	19:18	12:52	15	MES-013	Diego Vázquez Castillo	1	night	335.25	111.75	0	0	0	447	71.52	518.52	62.58	518.52	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240134-0034	2024-01-34	12:03	10:30	20	MES-012	Pablo Mendoza Romero	1	morning	508.5	169.5	0	0	0	678	108.48	786.48	94.92	786.48	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240135-0035	2024-01-35	7:32	18:21	13	MES-028	María Elena Gutiérrez Flores	1	night	216.75	72.25	0	4.34	0	289	45.55	330.21	39.85	0	330.21	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240129-0036	2024-01-29	12:45	23:08	16	MES-004	José Antonio López Hernández	2	afternoon	591.75	197.25	31.56	11.84	15.78	789	116.77	846.59	102.17	0	846.59	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0037	2024-01-30	16:06	11:58	15	MES-015	Diego Vázquez Castillo	1	morning	356.25	118.75	0	7.13	0	475	74.86	542.73	65.5	0	542.73	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0038	2024-01-31	16:07	16:40	17	MES-040	Pablo Mendoza Romero	2	afternoon	567	189	30.24	0	15.12	756	113.7	824.34	99.49	0	824.34	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0039	2024-01-32	10:18	11:20	21	MES-027	Pablo Mendoza Romero	4	afternoon	255.75	85.25	0	0	0	341	54.56	395.56	47.74	0	395.56	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240133-0040	2024-01-33	10:56	17:18	23	MES-031	María Elena Gutiérrez Flores	3	afternoon	667.5	222.5	35.6	0	0	890	136.7	991.1	119.62	0	991.1	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240134-0041	2024-01-34	17:22	17:04	22	MES-022	Ana Cruz Martínez	3	afternoon	346.5	115.5	0	0	9.24	462	72.44	525.2	63.39	0	525.2	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240135-0042	2024-01-35	13:51	16:03	30	MES-008	José Antonio López Hernández	2	morning	309	103	0	0	0	412	65.92	477.92	57.68	0	477.92	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240129-0043	2024-01-29	20:24	22:11	15	MES-026	María Elena Gutiérrez Flores	2	night	477.75	159.25	0	0	12.74	637	99.88	724.14	87.4	0	724.14	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240130-0044	2024-01-30	18:24	18:07	29	MES-034	Pablo Mendoza Romero	1	afternoon	532.5	177.5	0	0	0	710	113.6	823.6	99.4	0	823.6	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0045	2024-01-31	8:33	22:12	28	MES-025	Carmen Jiménez Ortiz	2	morning	266.25	88.75	14.2	0	0	355	54.53	395.33	47.71	0	395.33	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0046	2024-01-32	19:40	13:05	25	MES-002	José Antonio López Hernández	4	night	652.5	217.5	0	13.05	0	870	137.11	994.06	119.97	0	994.06	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0047	2024-01-33	7:57	23:07	30	MES-023	Pablo Mendoza Romero	3	night	495	165	0	9.9	0	660	104.02	754.12	91.01	754.12	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0048	2024-01-34	10:41	23:42	2	MES-030	Luis Ramírez Torres	3	night	173.25	57.75	9.24	0	4.62	231	34.74	251.88	30.4	0	251.88	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240135-0049	2024-01-35	15:24	23:15	27	MES-012	Luis Ramírez Torres	4	night	527.25	175.75	28.12	0	14.06	703	105.73	766.55	92.51	0	766.55	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240129-0050	2024-01-29	9:19	8:19	10	MES-007	María Elena Gutiérrez Flores	1	night	344.25	114.75	0	0	9.18	459	71.97	521.79	62.97	0	521.79	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240130-0051	2024-01-30	14:02	13:11	26	MES-021	José Antonio López Hernández	4	night	269.25	89.75	14.36	0	7.18	359	53.99	391.45	47.24	391.45	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240131-0052	2024-01-31	13:11	16:06	1	MES-008	Sofía Reyes Morales	4	morning	438.75	146.25	23.4	8.78	0	585	88.45	641.27	77.39	0	641.27	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240132-0053	2024-01-32	13:45	8:02	5	MES-034	Luis Ramírez Torres	3	morning	294	98	15.68	0	7.84	392	58.96	427.44	51.59	0	427.44	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240133-0054	2024-01-33	16:23	19:43	6	MES-006	José Antonio López Hernández	2	afternoon	356.25	118.75	0	0	9.5	475	74.48	539.98	65.17	0	539.98	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240134-0055	2024-01-34	18:10	16:11	7	MES-040	Ana Cruz Martínez	4	night	480.75	160.25	0	0	12.82	641	100.51	728.69	87.95	0	728.69	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240135-0056	2024-01-35	13:59	15:06	10	MES-029	Sofía Reyes Morales	1	night	660.75	220.25	35.24	0	17.62	881	132.5	960.64	115.94	0	960.64	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240129-0057	2024-01-29	10:03	21:05	3	MES-036	Luis Ramírez Torres	1	night	161.25	53.75	0	3.23	4.3	215	33.2	240.67	29.05	0	240.67	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240130-0058	2024-01-30	9:26	10:22	19	MES-019	José Antonio López Hernández	4	afternoon	591	197	31.52	11.82	15.76	788	116.62	845.52	102.05	845.52	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240131-0059	2024-01-31	22:47	10:23	30	MES-005	Sofía Reyes Morales	2	morning	517.5	172.5	0	0	13.8	690	108.19	784.39	94.67	784.39	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240132-0060	2024-01-32	19:43	15:20	17	MES-008	Carmen Jiménez Ortiz	2	morning	484.5	161.5	0	0	0	646	103.36	749.36	90.44	749.36	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240133-0061	2024-01-33	9:00	10:43	18	MES-019	Luis Ramírez Torres	4	afternoon	411.75	137.25	0	0	0	549	87.84	636.84	76.86	636.84	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240134-0062	2024-01-34	20:40	15:45	6	MES-026	José Antonio López Hernández	2	night	580.5	193.5	0	11.61	15.48	774	119.51	866.42	104.57	0	866.42	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240135-0063	2024-01-35	19:44	21:21	14	MES-010	Sofía Reyes Morales	4	morning	300.75	100.25	0	6.02	0	401	63.2	458.18	55.3	0	458.18	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240129-0064	2024-01-29	18:09	21:19	26	MES-022	Diego Vázquez Castillo	3	morning	665.25	221.75	35.48	13.31	0	887	134.11	972.32	117.35	0	972.32	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240130-0065	2024-01-30	18:22	11:06	28	MES-004	Ana Cruz Martínez	1	morning	273.75	91.25	0	0	0	365	58.4	423.4	51.1	0	423.4	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240131-0066	2024-01-31	9:19	17:28	11	MES-028	José Antonio López Hernández	3	morning	176.25	58.75	0	3.53	0	235	37.04	268.51	32.41	0	268.51	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240132-0067	2024-01-32	17:31	11:18	8	MES-020	Luis Ramírez Torres	3	afternoon	594.75	198.25	31.72	11.9	0	793	119.9	869.28	104.91	869.28	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240133-0068	2024-01-33	10:36	10:11	8	MES-025	Ana Cruz Martínez	4	night	669.75	223.25	0	0	17.86	893	140.02	1015.16	122.52	0	1015.16	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240134-0069	2024-01-34	10:42	17:13	21	MES-018	José Antonio López Hernández	4	night	211.5	70.5	11.28	0	5.64	282	42.41	307.49	37.11	307.49	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240135-0070	2024-01-35	8:29	15:20	15	MES-002	Pablo Mendoza Romero	1	night	468.75	156.25	0	0	12.5	625	98	710.5	85.75	710.5	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240129-0071	2024-01-29	20:37	23:20	7	MES-024	Diego Vázquez Castillo	2	morning	95.25	31.75	0	0	2.54	127	19.91	144.37	17.42	0	144.37	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0072	2024-01-30	7:04	22:09	23	MES-038	Diego Vázquez Castillo	1	night	424.5	141.5	22.64	0	11.32	566	85.13	617.17	74.49	617.17	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0073	2024-01-31	13:02	13:05	28	MES-016	Luis Ramírez Torres	2	morning	649.5	216.5	0	0	0	866	138.56	1004.56	121.24	1004.56	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0074	2024-01-32	9:08	18:48	19	MES-032	Sofía Reyes Morales	2	night	659.25	219.75	35.16	13.18	0	879	132.91	963.57	116.29	0	963.57	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240133-0075	2024-01-33	10:20	8:48	28	MES-038	Ana Cruz Martínez	4	morning	660.75	220.25	35.24	0	0	881	135.32	981.08	118.41	981.08	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240134-0076	2024-01-34	9:39	8:57	16	MES-024	María Elena Gutiérrez Flores	1	afternoon	231	77	0	0	6.16	308	48.29	350.13	42.26	350.13	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240135-0077	2024-01-35	12:12	9:38	4	MES-032	Diego Vázquez Castillo	4	morning	639.75	213.25	0	0	17.06	853	133.75	969.69	117.03	969.69	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240129-0078	2024-01-29	13:11	21:30	11	MES-022	Carmen Jiménez Ortiz	3	morning	194.25	64.75	0	0	5.18	259	40.61	294.43	35.53	294.43	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240130-0079	2024-01-30	14:04	14:27	17	MES-017	José Antonio López Hernández	1	night	510.75	170.25	27.24	10.22	13.62	681	100.79	730.71	88.19	0	730.71	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0080	2024-01-31	20:04	21:58	10	MES-017	Pablo Mendoza Romero	3	afternoon	648	216	34.56	0	17.28	864	129.95	942.11	113.7	0	942.11	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0081	2024-01-32	10:38	21:00	23	MES-024	Sofía Reyes Morales	4	morning	119.25	39.75	6.36	2.38	0	159	24.04	174.3	21.04	0	174.3	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0082	2024-01-33	12:22	21:08	29	MES-021	Luis Ramírez Torres	1	afternoon	414.75	138.25	0	8.3	11.06	553	85.38	619.02	74.71	0	619.02	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0083	2024-01-34	20:42	19:09	12	MES-034	Luis Ramírez Torres	4	night	526.5	175.5	0	0	0	702	112.32	814.32	98.28	0	814.32	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240135-0084	2024-01-35	9:49	20:42	5	MES-035	Pablo Mendoza Romero	3	afternoon	156	52	0	0	0	208	33.28	241.28	29.12	0	241.28	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240129-0085	2024-01-29	14:52	13:10	29	MES-018	Diego Vázquez Castillo	1	afternoon	192	64	0	0	5.12	256	40.14	291.02	35.12	291.02	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240130-0086	2024-01-30	19:43	22:00	8	MES-028	Diego Vázquez Castillo	2	morning	116.25	38.75	0	2.32	0	155	24.43	177.11	21.38	0	177.11	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240131-0087	2024-01-31	9:31	15:27	12	MES-035	María Elena Gutiérrez Flores	4	night	266.25	88.75	14.2	0	7.1	355	53.39	387.09	46.72	0	387.09	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240132-0088	2024-01-32	14:37	13:37	29	MES-019	Carmen Jiménez Ortiz	4	afternoon	297.75	99.25	15.88	5.96	0	397	60.03	435.19	52.52	435.19	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240133-0089	2024-01-33	16:53	19:25	10	MES-010	Diego Vázquez Castillo	4	morning	96.75	32.25	0	0	0	129	20.64	149.64	18.06	149.64	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240134-0090	2024-01-34	15:23	18:12	23	MES-039	Sofía Reyes Morales	1	night	620.25	206.75	0	0	16.54	827	129.67	940.13	113.46	940.13	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240135-0091	2024-01-35	12:14	20:03	20	MES-029	Diego Vázquez Castillo	3	night	314.25	104.75	0	0	0	419	67.04	486.04	58.66	0	486.04	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240129-0092	2024-01-29	12:05	23:45	13	MES-002	Diego Vázquez Castillo	4	afternoon	620.25	206.75	0	0	16.54	827	129.67	940.13	113.46	0	940.13	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240130-0093	2024-01-30	11:10	20:38	15	MES-040	Diego Vázquez Castillo	2	afternoon	234	78	0	0	0	312	49.92	361.92	43.68	0	361.92	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240131-0094	2024-01-31	10:58	23:47	14	MES-022	María Elena Gutiérrez Flores	4	night	423	141	22.56	0	0	564	86.63	628.07	75.8	628.07	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240132-0095	2024-01-32	17:40	10:17	9	MES-004	Ana Cruz Martínez	2	night	198	66	10.56	0	0	264	40.55	293.99	35.48	0	293.99	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240133-0096	2024-01-33	19:46	9:35	20	MES-007	Sofía Reyes Morales	1	morning	405.75	135.25	0	0	10.82	541	84.83	615.01	74.23	0	615.01	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240134-0097	2024-01-34	7:05	10:40	14	MES-011	Carmen Jiménez Ortiz	3	afternoon	252.75	84.25	0	0	0	337	53.92	390.92	47.18	390.92	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240135-0098	2024-01-35	19:16	11:54	3	MES-022	Luis Ramírez Torres	4	night	591.75	197.25	31.56	0	15.78	789	118.67	860.33	103.83	860.33	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240129-0099	2024-01-29	19:04	11:45	7	MES-005	Carmen Jiménez Ortiz	1	morning	562.5	187.5	0	11.25	15	750	115.8	839.55	101.33	0	839.55	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240130-0100	2024-01-30	13:03	21:05	3	MES-020	Ana Cruz Martínez	3	afternoon	358.5	119.5	0	7.17	0	478	75.33	546.16	65.92	546.16	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240131-0101	2024-01-31	13:52	9:29	5	MES-026	Pablo Mendoza Romero	4	morning	102	34	0	2.04	2.72	136	21	152.24	18.37	152.24	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240132-0102	2024-01-32	19:38	12:23	23	MES-037	Diego Vázquez Castillo	1	night	657	219	0	13.14	0	876	138.06	1000.92	120.8	1000.92	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240133-0103	2024-01-33	19:31	14:04	10	MES-007	Luis Ramírez Torres	4	night	310.5	103.5	16.56	6.21	8.28	414	61.27	444.22	53.61	444.22	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240134-0104	2024-01-34	15:27	15:35	26	MES-002	Diego Vázquez Castillo	3	afternoon	461.25	153.75	0	9.23	0	615	96.92	702.69	84.81	0	702.69	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240135-0105	2024-01-35	8:29	16:20	21	MES-026	Ana Cruz Martínez	1	morning	369.75	123.25	0	7.4	0	493	77.7	563.3	67.98	563.3	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240129-0106	2024-01-29	17:00	10:23	8	MES-014	Carmen Jiménez Ortiz	1	morning	628.5	209.5	0	0	0	838	134.08	972.08	117.32	972.08	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0107	2024-01-30	7:40	12:14	9	MES-040	Sofía Reyes Morales	3	morning	617.25	205.75	32.92	12.35	0	823	124.44	902.17	108.88	0	902.17	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0108	2024-01-31	7:25	17:26	12	MES-007	Pablo Mendoza Romero	3	morning	316.5	105.5	0	0	8.44	422	66.17	479.73	57.9	0	479.73	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0109	2024-01-32	22:09	18:32	27	MES-003	Luis Ramírez Torres	3	morning	150	50	8	0	4	200	30.08	218.08	26.32	0	218.08	tarjeta	FRMX-CD-MTY-001	dine_in
